ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value
9781488621802,192782817,Australian signpost maths /  Alan McSeveny [and 4 others],"McSeveny, Alan",2012-2018,"Book, Book/Illustrated",10.823433876037598,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma9916514611801831/61USOUTHAUS_INST:UNISA
9781488621802,232664496,"Australian signpost maths 2 : mentals / Alan McSeveny, Diane McSeveny Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9780190312572,36375679,"Handwriting for New South Wales / Lesley Ljungdahl, Paul March","Ljungdahl, Lesley",2009-2019,"Book/Illustrated, Book",9.763036727905273,very relevant,,,
9780190312572,37948969,Handwriting for New South Wales. Deborah Davis,"Williams, Maree.",2010-2019,"Book/Illustrated, Book",9.610252380371094,very relevant,,,
9781488621192,232513473,Australian Signpost Maths NSW 5 Teacher's Book,"McSeveny, Alan",1900-2018,"Book, Book/Illustrated",12.590726852416992,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664432647-t
9781488621192,232513473,Australian Signpost Maths NSW 5 Teacher's Book,"McSeveny, Alan",1900-2018,"Book, Book/Illustrated",12.590726852416992,very relevant,url,restricted,https://nla.gov.au/nla.obj-664434818
9781488621192,230459040,"Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",10.191031455993652,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664431553-t
9781488621192,230459040,"Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",10.191031455993652,very relevant,url,restricted,https://nla.gov.au/nla.obj-664432378
9781740202992,28141087,"Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001-2023,"Book, Book/Illustrated",10.823433876037598,very relevant,,,
9781740202992,33292019,"Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001,"Book/Illustrated, Book",8.340190887451172,very relevant,,,
9781740202992,249289947,"Targeting Handwriting : Targeting Handwriting / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001,"Book, Book/Illustrated",6.751034259796143,very relevant,,,
9781921358906,163420889,"Step it up! :  maths : maths mentals & home practice for home /  Louise Dahlin, Matthew Griffiths, Kevin Orchard","Dahlin, Louise",2012-2015,"Book/Illustrated, Book",8.340190887451172,very relevant,,,
9781925168563,,,,,,,,,,
9781743305737,34095895,Strategies to achieve reading success,"Adcock, Deborah",2000-2013,"Book, Book/Illustrated",12.33508586883545,very relevant,,,
9780076044832,7832177,"Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert, 1947-",1990-2007,"Book/Illustrated, Book",8.340190887451172,very relevant,,,
9780076044832,189726277,Spelling mastery. Level C. Workbook,"Dixon, Robert",2007,Book,7.884276390075684,very relevant,,,
9780190312503,98479536,Handwriting first for Victoria / Maree Williams,"Williams, Maree",2011-2019,"Book/Illustrated, Book",12.157639503479004,very relevant,,,
9780190302689,255472960,"Australian integrated primary Oxford dictionary & thesaurus /  edited by Mark Gwynn ; grammar, punctuation and spelling guide written by Margaret McKenzie and Susan Leslie","McKenzie, Margaret,  1944-",2016,Book,7.070510387420654,very relevant,,,
9780394176550,,,,,,,,,,
9781925114300,,,,,,,,,,
9781921535758,191703426,Maths mate. / J.B. Wright,"Wright, J.B",2010-2013,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9781921535758,229892851,Maths mate 5,,1999,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9781876081621,9678004,Maths mate 7 : homework program / J. B. Wright,"Wright, J. B",1998-2003,"Book/Illustrated, Book",8.119243621826172,very relevant,,,
9781876081621,189726285,Maths mate homework program 7 / J.B. Wright,"Wright, J. B",2003,"Book, Book/Illustrated",7.070510387420654,very relevant,,,
9781876081621,261031991,Maths mate 7 :  homework program /  J.B. Wright,"Wright, J. B",2003,"Book/Illustrated, Book",6.751034259796143,very relevant,,,
9781876081621,24739111,"Maths Mate 7 Student Pad / Wright, J B",,2003,Book,6.0044403076171875,very relevant,,,
9781876081638,9678010,Maths mate 8 : homework program / J. B. Wright,"Wright, J. B",1995-2015,"Book, Book/Illustrated, Book/Braille",7.633111000061035,very relevant,,,
9781876081638,5291980,Maths mate homework program. J.B. Wright,"Wright, J. B",2003,"Book/Illustrated, Book",7.36301851272583,very relevant,,,
9781876081638,261025631,Maths mate 8 :  homework program [student pad] /  J.B. Wright,"Wright, J. B",2003,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9781876081638,24739133,"Maths Mate 8 Student Pad / Wright, J B",,2003,Book,6.0044403076171875,very relevant,,,
9780980868753,180706497,Handwriting conventions :  Victoria /  Steve Murray,"Murray, Steven T",2011,"Book/Illustrated, Book",7.36301851272583,very relevant,,,
9780980868753,202789594,Handwriting conventions. / Steve Murray,"Murray, Steven T",2011,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9780190322816,215602592,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2016-2023,"Book/Illustrated, Book",10.703790664672852,very relevant,,,
9780190322816,215602610,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2016-2023,"Book/Illustrated, Book",8.746767044067383,very relevant,,,
9780932416988,229081211,Ta pedia tis yitonias,"Papaloizos, Theodore C",2008,"Book/Illustrated, Book",6.751034259796143,very relevant,,,
9781875191987,6918815,Music theory for cool cats /  Deana Dodds ; illustrated by Jock Macneish,"Dodds, Deana",1999-2004,"Book, Book/Illustrated",11.585890769958496,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma9956673901831/61USOUTHAUS_INST:UNISA
9781875191987,233536751,"Music theory for cool cats : beginner book A, recorder edition","Dodds, Deana",2000,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9781875191987,256905358,Music theory for cool cats :  beginner book A /  Deana Dodds ; illustrated by Jock Macneish,"Dodds, Deana",2000,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9781922116734,197509736,English skills practice,,2014-2016,"Book/Illustrated, Book",7.884276390075684,very relevant,,,
9781741351583,32441205,Sound waves. Barbara Murray,"Murray, Barbara",2005-2018,"Book, Book/Illustrated",13.986993789672852,very relevant,,,
9781741351583,32366373,Sound waves :  a whole school phonemic approach to spelling /  Barbara Murray and Terri Watson,"Murray, Barbara",2005-2012,"Book, Book/Illustrated",13.580820083618164,very relevant,,,
9781741351781,163413090,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,
9781741351842,163413090,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,
9780975182864,233541100,Black belt recorder,,2006,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9780975182864,20719942,Black belt recorder :  student book one /  Drew E. Burns ... [et al.],"Burns, Drew E",2006,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
